groupID,artifactID,date,tags,numberUsages,maxUsage,latestVersion
im.bci,jnuit-artemis,17-5-2015,,5,1,0.13
org.codefeedr,codefeedr-plugin-rss_2.12,7-3-2019,plugin rss,1,0,0.1.0
org.netbeans.external,org-eclipse-core-jobs,24-2-2020,eclipse ide netbeans,6,3,RELEASE113
org.n52.sensorweb-server.sos,sos-prefixed-identifier,23-7-2020,server,8,1,5.3.0
cn.gudqs,poi-tl,7-5-2019,,1,1,1.5.0
com.mysema.commons,mysema-commons-fluxml,6-10-2011,,6,3,0.2.7
org.allurefw.report,packages-plugin,31-10-2016,plugin report,2,1,2.0-M1
org.tpolecat,atto-compat-cats_sjs0.6_2.11,28-7-2017,compatibility,2,3,0.5.3
com.soebes.smpp,smpp-boot,25-7-2020,,13,0,5.3.1
org.jnosql.diana,diana-core,16-5-2019,,6,6,0.0.9
com.yang-bo.dsl.domains.akka.actor,typed_2.12,29-5-2020,actor akka distributed concurrency dsl,71,0,1.0.1+3-c334a586
pl.fhframework.core.security.permission,permissionProvider-standalone,4-8-2020,security,12,0,4.6.10
com.azure,azure-core-management,8-8-2020,azure management,6,1,1.0.0-preview.4
org.orbisgis,orbisgis,30-1-2015,platform,1,0,5.0.1
org.ligboy.android,selectphoto,1-7-2016,android,6,0,1.1.1
org.xtext,xtext-idea-gradle-plugin,14-10-2019,plugin build build-system gradle groovy,63,5,2.0.8
com.adobe.aam,shredder-core-guice,29-1-2019,dependency-injection,1,0,2.0.0
ws.palladian,palladian-commons,30-7-2018,,3,2,1.0.0
org.picketlink.idm.testsuite,common,27-2-2015,,26,4,1.4.6.Final
io.geewit.oltu.oidc,gw-oltu-oidc,2-2-2020,io,7,0,1.0.6
org.apiwatch,apiwatch-analyser-java,9-2-2013,,1,1,0.1
org.kuali.kfs,kfs-module-endow,5-3-2012,module,1,1,4.1.1-5
com.ardikars.pcap,pcap-tests,5-8-2020,testing,23,0,0.1.3
io.remotecontrol,remote-transport-local,15-12-2014,transport remote io,1,0,0.7
net.sourceforge.owlapi,owlapibenchmarks,24-12-2014,,1,0,4.0.1
com.github.eoscode,spring-api-tools,10-5-2020,github spring tools api,7,0,1.2.0-RELEASE
com.github.vindell,spring-boot-starter-rocketmq,5-4-2018,github queue spring starter,1,0,1.0.0.RELEASE
org.parboiled,parboiled-core,24-6-2019,parser generator,19,12,1.3.1
org.wso2.carbon.appmgt,org.wso2.carbon.appmgt.keymgt,22-12-2015,,1,1,1.0.1
nl.demon.shadowland.freedumbytes.maven.skins,maven-reflow-skin-sample,16-10-2017,maven build build-system example,1,0,1.2
io.grpc,grpc-netty,29-7-2020,network grpc socket netty io rpc protocol,74,59,1.31.0
com.codepoetics,ambivalent,14-3-2016,,1,0,0.1
com.guicedee.services,cache-annotations-ri-common,8-8-2020,service cache annotations,300,1,62
com.jparams,jparams-junit4,7-4-2017,testing junit,4,0,1.0.4
org.geomesa.nifi,geomesa-nifi-processors-hbase,7-11-2019,processor hbase database,13,1,2.3.2
io.cartographer,atlas_2.12,6-3-2018,io,1,0,0.1.0
uk.ac.ceh.components,vocab-rdf,3-12-2019,rdf,6,0,1.0.46
net.petitviolet,genericdiff_2.11,5-2-2019,,3,0,0.3.0
com.gitee.sunlu,zm-cloud-domain,6-7-2018,cloud,1,3,1.0.0
com.lambdista,config-root_2.11,14-1-2016,config,1,0,0.1.0
org.opendaylight.bgpcep,bgp-openconfig-api,10-8-2020,api,39,4,0.13.2
org.visallo,visallo-client-api,25-12-2017,client api,33,1,4.0.0
gov.nist.math,jama,17-6-2013,math,4,101,1.0.3
org.realityforge.arez.networkstatus,arez-networkstatus,28-2-2019,,55,0,0.57
com.adobe.marketing.mobile,userprofile,30-3-2020,mobile android,3,2,1.1.0
com.virtlink.commons,commons-configuration2-jackson,24-3-2020,config,12,5,0.10.0
com.gitee.qdbp,qdbp-jdbc-spring,9-8-2020,jdbc sql spring,5,0,3.0.0
com.github.tsouza.promises,rxjava-promises-bundle,8-5-2015,github reactive bundle,2,0,1.0.0
cn.apiclub.tool,simplecaptcha,30-3-2015,,1,3,1.2.2
com.github.hiwepy,maven-invoker-spring-boot-starter,4-1-2020,github spring build build-system maven starter,1,0,1.0.3.RELEASE
org.elder.sourcerer,sourcerer-eventstore-spring,18-10-2019,spring,22,0,v6.0.0
com.netflix.governator,governator-jetty,4-12-2019,webserver server jetty,74,2,1.17.10
com.github.jobservice,job-service-db-client,3-4-2020,github service client,10,2,3.3.0-2
com.nobigsoftware,dfalex,24-4-2019,,2,0,1.0.1
com.greycellofp,DroidUIScrollView,18-8-2015,android,2,0,1.0.1
mobi.speakin.sdk,easyCloudSdk,15-9-2017,sdk,1,0,1.0
com.github.christopheversieux,holoeverywhere-parent,27-10-2012,github,2,0,1.3.3
com.liferay,com.liferay.dynamic.data.mapping.expression,15-7-2020,data mapping expression,68,2,5.0.7
org.wso2.analytics.is,tcp-server,17-10-2019,server network tcp analytics,40,0,5.10.0-m2
org.codehaus.griffon,griffon-launcher-ant,11-1-2013,ant codehaus launcher,2,0,1.1.0
org.randombits.utils,rb-utils,12-12-2011,,1,11,2.0.0
org.kuali.ole,ole-liquibase-upgrade,3-11-2015,,18,0,1.6.2
com.carma,swagger-doclet-sample-jersey2,1-4-2016,doc webservice swagger api example,12,0,1.1.2
com.github.slack-scala-client,slack-scala-client_2.13,1-6-2020,github client scala,4,1,0.2.10
org.hspconsortium.reference,hspc-reference-apps,10-3-2016,reference webapp web application,2,0,0.10
org.wso2.carbon.event-processing,org.wso2.carbon.event.output.adaptor.mysql,2-2-2015,event mysql database,1,0,2.0.1
com.thoughtworks.q,q_2.11,4-12-2019,,19,1,1.0.4+4-a42097a7
org.opendaylight.neutron,neutron-hostconfig-utils,10-8-2020,,29,5,0.14.2
com.gu,pan-domain-auth-play_2-8_2.12,7-8-2020,authentication,10,1,0.9.2
com.greenbird.mule,greenbird-mule-test-tools,12-10-2015,testing tools,5,2,2.0.1
org.inurl.shardingsphere,shadow-core-rewrite,23-4-2020,,1,1,4.1.0
com.github.sarunkurup3,DemoRepo,23-1-2019,github,1,0,1.0
org.mvc-spec.ozark.ext,ozark-thymeleaf,20-9-2018,mvc,2,0,1.0.0-m04
co.pishfa.accelerate,accelerate-eclipselink,4-9-2016,,1,0,1.0.0
org.t-io,tio-flash-policy-server,7-8-2020,server io policy,60,1,3.6.2.v202008...
com.github.cafdataprocessing,worker-languagedetection-container,23-3-2020,github container,12,0,3.2.0-608
com.github.acsgh.spark.scala.converter.template,thymeleaf_2.13,30-10-2019,github spark template scala,2,1,1.1.0
org.jupyter-scala,scala-kernel_2.11.8,9-5-2017,scala,9,1,0.4.2
com.github.alexarchambault,case-app-annotations_sjs0.6_2.12,6-2-2020,github annotations,19,3,2.0.0-M13
com.github.jpteam.adhive,adhivelib,30-5-2017,github android,3,0,2.0.7
io.eels,eel-core_2.11,11-2-2019,io,103,7,1.3.0-a13
com.clovellytech,h4sm-permissions_2.12,30-4-2020,,30,2,0.1.0
no.nav.tjenestespesifikasjoner,sendsoknad-tjenestespesifikasjon,25-9-2019,,56,0,1.2019.09.25-...
io.github.universityfinalprojects,tparser,16-11-2017,io github,1,0,1.0
org.wso2.carbon,org.wso2.carbon.ui.menu.general,7-8-2020,ui,32,0,4.6.1-m7
com.github.drtrang,maven-archetype-springboot,30-11-2017,github build archetype build-system maven,2,0,1.0.1
com.alibaba.blink,flink-connector-kafka-0.8_2.11,13-6-2020,kafka streaming connector,10,0,blink-3.7.0
org.specs2,specs2-markdown_2.12.0-M2,16-10-2015,specs testing markdown,4,1,3.6.4-2015101...
com.netflix.iep,iep-launcher,7-7-2015,launcher,20,0,0.1.26
de.guerda.colormatcher,colormatcher-core,14-8-2016,,1,1,0.0.6
eu.mais-h.mathsync,parent,6-12-2014,,9,0,0.6.2
com.foursquare,rogue-spindle_2.9.2,13-8-2015,foursquare,19,0,3.0.0-beta15
io.gravitee.test,repo-test1,12-7-2018,testing io repository,1,0,0.0.1
com.iterable.pulsar4s,pulsar4s-spray-json_2.11,1-9-2019,json,10,0,2.4.0-M10
com.liferay,com.liferay.headless.batch.engine.api,26-6-2020,batch api engine,31,0,12.1.2
com.github.artur-tamazian,avro-schema-generator,9-7-2020,github generator serialization avro schema protocol,7,0,1.0.6
se.vgregion.oppna-program-account-management,oppna-program-account-management-core-bc-composite-camel,1-2-2012,management camel,1,2,1.0
io.github.pityka,nspl-shared-jvm_2.11,30-10-2017,github io,3,2,0.0.19
com.johnsnowlabs.nlp,spark-nlp-spark23_2.11,4-8-2020,nlp spark,2,0,2.5.5
com.liferay,com.liferay.web.proxy.web,25-6-2020,web proxy,56,0,4.0.7
com.jwebmp.jre10,jwebmp-web-log-appender,23-9-2018,web logging,2,1,0.59.0.14
fr.inria.powerapi.sensor,sensor-disk-api,22-3-2013,disk sensor api,6,4,1.5
com.helger,ph-datetime,15-7-2020,date time,61,28,9.4.6
org.ancoron.glassfish.asadmin,osgi-service,6-7-2012,service osgi,3,1,1.0.4
org.kuali.kfs,kfs-config,5-3-2012,config,1,0,4.1.1-5
org.apereo.cas,cas-server-core-monitor,24-7-2020,monitor server,107,31,6.3.0-RC1
com.github.j5ik2o,reactive-aws-elasticsearch-test_2.12,6-7-2020,github aws amazon elasticsearch reactive testing elastic search,12,4,1.2.6
org.eulerframework,euler-web-authentication,31-8-2019,web authentication,2,2,1.0.0.M3
org.commonjava.aprox,aprox-parent,15-10-2015,,59,0,0.25.1
com.github.aishfenton,vegas_2.11,23-10-2016,github,10,2,0.3.4
com.github.dnault,xml-patch,21-3-2018,github xml,1,1,0.3.1
mevenide,maven-jbuilder-opentool-plugin,20-9-2005,plugin maven build build-system,1,0,0.1
ai.idylnlp,idylnlp-nlp-language-detection,10-6-2018,nlp language analyzer,2,0,1.1.0
com.dell.cpsd.component,component-common-core,24-7-2017,,1,1,1.1.0
org.hotswapagent,hotswap-agent-glassfish-plugin,9-6-2020,plugin agent,4,1,1.4.1
de.dentrassi.eclipse.neoscada.core,org.eclipse.scada.da.server.common.io,29-9-2016,server eclipse io,1,3,0.3.0
com.github.httl,httl-jfinal,16-8-2013,github,2,0,1.0.11
com.functortech,thera_2.12,18-8-2018,,3,0,0.0.3
com.yoti.mobile.mpp,smartcard-common-ios,3-10-2019,mobile,1,0,0.6.2
com.jd.alpha,alpha-skill-sdk,11-9-2018,sdk,1,0,0.1
com.47deg,root_2.11,10-3-2020,,14,0,1.2.2
com.synopsys.integration,integration-rest,31-7-2020,integration rest,11,4,5.0.0
at.ac.uibk.dps.cloud.simulator,dissect-cf,17-8-2015,cloud,2,0,0.9.6
com.github.gitqiao,avocado-boot-starter-redis,29-7-2020,github redis database starter,3,1,0.0.4
net.bramp.objectgraph,objectgraph,14-5-2017,,5,1,1.1.0
org.parancoe,parancoe,25-6-2012,,9,0,2.0.3
com.snicesoft,android-scan,29-7-2017,scanning android,1,0,1.0.1
org.ow2.authzforce,authzforce-ce-core,20-7-2020,,36,2,16.0.0
com.outr,smartystreets-scala-sdk_2.11,22-4-2019,sdk scala,16,0,1.0.17
javax.xml.rpc,javax.xml.rpc-api,21-3-2018,standard javax xml api rpc specs,3,10,1.1.2
me.drakeet.multitype,multitype,16-3-2019,android,53,334,4.0.0-alpha3
io.helidon.config,helidon-config-test-infrastructure,20-7-2020,testing config io,37,4,2.0.1
geronimo,j2ee-server,6-1-2006,server,3,19,1.1.1
com.phloc,phloc-css-jdk5,23-5-2014,css,3,1,3.7.7
org.fusesource.leveldbjni,leveldbjni-osx,17-10-2013,,6,5,1.8
dev.zio,root_2.12,5-8-2020,,18,0,1.0.0
org.bdgenomics.avocado,avocado-core_2.10,9-1-2018,,1,1,0.1.0
org.wso2.carbon.identity.agent.sso.java,org.wso2.carbon.identity.sso.agent.server.feature,11-8-2020,server agent identity,24,0,5.5.1
com.strategicgains,RestExpress,10-2-2016,,19,3,0.11.3
org.hammerlab,string-utils_2.12,2-1-2017,,1,1,1.2.0
zone.gryphon.do,digitalocean-java-model-manual,10-7-2019,digitalocean model,2,0,0.1.6-444a405
com.thoughtworks.feature,implicitapply_sjs0.6_2.12,2-1-2020,,38,9,2.3.0+140-594...
org.typelevel,scodec-protocols_2.11,9-12-2014,protocol codec,4,0,0.5.0
com.github.jainsahab,Snooper-Spring,23-2-2020,github spring android,11,0,1.5.5
com.uber.crumb,crumb-core,14-9-2019,,2,1,0.1.0
com.gemserk.resources,resourcesmanager-core,21-9-2011,resource,1,1,0.1.0
com.denghb,multi-line,21-5-2019,,2,1,1.0.2
cn.springcloud.feign,venus-cloud-feign-sample-provider-api,21-7-2018,provider cloud example api,1,2,1.0.0
org.elasticmq,root_2.11,14-3-2018,,1,0,0.13.9
directory-shared,apache-ldapber-provider,24-12-2005,provider apache directory,3,6,0.9.3
net.katsstuff,minejson-text_2.12,30-4-2020,text,4,1,0.3.2
io.markdom,modules,9-1-2020,io module,2,0,0.0.2
io.loli.social,custom-jpa,25-5-2017,persistence jpa social io,1,1,0.0.1
com.github.shepherdviolet.slate20,slate-http-client,25-2-2020,github client http,3,0,20.1.0
de.adorsys.psd2,aspsp-profile-web,31-7-2020,web,40,2,7.7
com.fitbur.testify.junit,unit-test,18-2-2016,testing junit,13,1,0.1.3
com.bytegain.analytics,analytics-wear,24-6-2019,analytics android,2,0,5.1.0
com.premiumminds,billy-spain,11-7-2020,,9,0,3.3.0
com.avalon-inc.web,log-audit,21-7-2020,web container logging,4,1,2.3.1
com.liferay.commerce,com.liferay.headless.commerce.admin.site.setting.impl,1-7-2020,admin,38,0,1.0.37
io.symcpe.hendrix,hendrix-parent,1-11-2016,io,12,0,0.0.34
com.jwebmp.jre10,jwebmp-bootstrap-switch4,23-9-2018,bootstrap,2,1,0.59.0.14
com.expedia.www,haystack-commons,9-1-2020,,63,8,1.0.66
org.apereo.cas,cas-server-support-sms-nexmo,24-7-2020,support server sms,38,0,6.3.0-RC1
xyz.cofe,classpath,21-5-2017,,1,0,0.1
com.velocidi,apso_2.13,6-8-2020,,6,0,0.16.1
org.gradle.api.plugins,gradle-android-plugin,10-10-2012,plugin build build-system gradle groovy api android,3,1,1.2.1
ch.swissbilling,client,28-6-2019,client,2,0,1.0.1
io.mraa.upm,upm_utilities,21-11-2018,io,4,0,1.7.1
com.github.eikek,emil-jsoup_2.12,16-7-2020,github,5,0,0.6.2
org.bluestemsoftware.open.eoa.ext,spring-naming-context,21-11-2010,spring naming,3,0,0.8.5.0
org.feasy.cloud,rocketmq-stream-spring-boot-starter,24-6-2020,streaming queue spring cloud starter,1,0,1.0-RELEASE
de.pitkley.jmccs,helper,24-6-2015,,2,1,0.3.0
org.molgenis,molgenis-api-tests,3-8-2020,testing api,39,0,8.4.5
org.mil-oss,fgsms-discovery-uddi,12-3-2017,discovery,1,7,7.0.0
org.codehaus.jettison,jettison,18-3-2020,codehaus json,19,206,1.4.1
org.powertac,officecomplex-customer,26-3-2020,,21,1,1.7.0
org.sakaiproject.basiclti,sakai-web-portlet-basiclti,22-4-2016,portlet web webapp application,6,0,10.7
cn.com.antcloud.api,antcloud-api-acccenter,21-10-2019,api,2,0,1.5.0
net.sf.jkniv,jkniv-sap-provider,11-2-2020,provider,3,0,2.20.0
com.eternitywall,java-opentimestamps,12-2-2020,,19,0,1.18
com.adobe.api.platform,micro-service-build,5-2-2019,build service api platform,9,0,1.3.7
org.metafacture,metamorph,19-11-2019,,5,1,5.1.0
com.github.spoddutur,spark-phrase-extraction,20-7-2018,github spark,1,0,1.0
io.github.alanpeng899,shiro-redis-spring-boot-starter,16-7-2019,database github security spring io redis starter,2,0,1.0.1
com.lihaoyi,ammonite-runtime_2.11.4,23-5-2017,runtime,120,3,COMMIT-7784517
com.github.duxvfeng,autoId-spring-boot,25-7-2020,github spring,3,0,1.0.2-RELEASE
io.mraa.at.upm,upm_grovegsr,27-2-2018,io android,4,0,1.6.0
org.kordamp.ikonli,ikonli-javafx,9-5-2020,,22,5,11.5.0
org.clojure,java.jdbc,25-12-2019,clojure jdbc sql,70,67,0.7.11
net.officefloor.tutorial,GoogleSigninHttpServer,29-12-2019,,18,0,3.17.0
com.github.antoniobarbuzzi,object-csv_2.11,7-12-2015,github csv,2,0,0.1.1
net.aequologica.neo,dagr-core,4-4-2019,,16,1,0.5.2
com.bandwidth,async-sqs,1-6-2020,asynchronous,14,0,0.12.5
cn.imaq,autumn-rpc-integration,2-8-2020,integration rpc,1,0,2019.06
com.webank.wedatasphere.linkis,linkis-hive-engine,12-2-2020,engine,3,1,0.9.3
org.javastack,properties-agent,17-8-2016,agent,1,0,1.0.0
com.kakao.mango,mango-macro_2.10,3-2-2017,macro,1,2,0.5.0
org.xwiki.rendering,xwiki-rendering-syntax-docbook,31-7-2020,syntax render,279,2,12.6
org.entando.entando.bundles.widgets,entando-widget-navigation_bar,24-4-2020,bundle webapp web application,13,3,6.1.1
org.littleshoot,tcp-framing,14-5-2013,network tcp,1,2,1.0.3
com.github.salat,salat-core_2.12,12-8-2017,github,2,6,1.11.2
de.intarsys.opensource,iscwt,22-7-2013,,2,3,5.5
com.liferay,com.liferay.document.library.asset.auto.tagger.opennlp,29-5-2019,library,8,0,1.0.7
org.scala-js,scalajs-java-logging_sjs0.6_2.12,7-2-2020,logging scala scalajs,8,4,1.0.0
com.typesafe.akka,akka-actor-testkit-typed_2.11,13-2-2019,actor akka testing distributed concurrency typesafe,9,11,2.5.21
me.tatarka.bindingcollectionadapter2,bindingcollectionadapter-ktx,8-3-2020,android,5,0,4.0.0
io.springfox,springfox-staticdocs,7-11-2016,io,13,3,2.6.1
org.optaplanner,optaplanner-persistence-common,31-7-2020,persistence,74,1,7.41.0.Final
com.github.cb372,scalacache-core_2.12.0-RC1,23-9-2016,github,1,5,0.9.2
org.isarnproject,isarn-sketches-spark_2.11,20-6-2020,spark,19,0,0.4.0-sp2.4
nl.vpro.shared,vpro-shared-ektorp,2-10-2019,,15,0,2.8.1
org.esbtools.eventhandler,event-handler-lib,8-7-2019,event library,15,1,0.1.15
net.java.truevfs,truevfs-samples_2.13,25-10-2019,example,2,0,0.12.2
org.isuper,isuper.oauth.client.core,6-1-2017,client authentication oauth,7,2,0.4.3
com.github.dalet-oss,mongobee,11-6-2020,github,4,0,1.0.4
com.logitags,cibet-shiro,27-7-2019,security,3,1,2.2
org.graphfoundation.ongdb,ongdb-cypher-spec-suite-tools,10-6-2020,tools,2,4,3.6.0
org.opencypher,okapi-api,3-6-2019,api,33,7,1.0.0-beta7
me.tatarka.shard,shard-host-ui-ktx,1-2-2020,ui android,4,0,1.0.0-beta03
io.indigoengine,indigo-platforms_2.13,29-7-2020,platform io,2,1,0.2.0
com.flashflexpro,simple-amf-all,12-3-2017,,1,0,0.0.1
com.rojoma,rojoma-json_2.10.3,24-3-2014,json,1,0,2.4.2
com.cognitect.aws,pinpoint-sms-voice,8-11-2019,amazon aws sms,6,0,770.2.568.0
technology.yiss.kotlin,kotlin-reflect,13-6-2018,kotlin,2,3,1.2.42
com.github.cloveros,EasyApi,3-12-2018,github,7,0,1.1.5-beta
org.sakaiproject.presence,sakai-presence-util,31-7-2020,,37,3,20.1
com.tapad.sbt,oozie-lib_2.11,2-12-2017,build build-system sbt library scala,1,0,0.1.0
com.shamanland,xdroid-app-base,31-5-2015,android,10,2,0.2.6
org.mayanjun,myjack-dal,23-8-2019,,4,1,0.0.2.RELEASE
net.thegodcode,highchair-spec_2.9.0-1,2-8-2013,,1,1,0.0.4
com.redhat.lightblue.mongo,mongo-crud,16-12-2014,crud mongodb,7,3,1.2.0
com.nrinaudo,kantan.csv-scalaz_sjs0.6_2.12,23-10-2019,csv scalaz scala,4,0,0.6.0
io.eels,eel-elasticsearch_2.10,31-1-2016,elasticsearch elastic search io,1,0,0.13.0
com.balysv,material-ripple,30-4-2015,android,3,15,1.0.2
org.codehaus.jedi,codegen,9-4-2011,codehaus,6,0,3.0.5
io.mateo.spring,twilio-spring-boot-autoconfigure,22-12-2019,config spring io,1,1,1.0.0-rc.1
de.dentrassi.eclipse.neoscada.base,org.eclipse.scada.hds,29-9-2016,eclipse,1,6,0.1.0
cglib,cglib-full,28-10-2015,bytecode,3,36,2.0.2
com.thoughtworks.inproctester,jerseytester-tests,24-11-2015,testing,6,0,1.1.1
com.eurodyn.qlack2.be,qlack2-be-workflow-api,18-6-2020,workflow api,22,3,2.3.18
info.kwarc.mmt,mmt-informal,11-6-2014,,1,3,1.0.0
org.ogema.apps,simulated-freezer,6-12-2019,,2,0,2.2.1
io.chymyst,chymyst-core_2.11,6-6-2017,io,3,1,0.2.0
org.scala-js,scalajs-js-envs-test-kit_2.12.0-RC1,13-10-2016,testing scala scalajs,2,0,0.6.13
io.github.CyberAgent,scalapbc_2.12,22-7-2019,io github,3,0,0.9.3
com.github.cerst,auto-require_2.12,28-7-2020,github,3,0,0.3.3
io.honeycomb.libhoney,libhoney-java-parent,30-7-2020,io,11,0,1.2.0
eu.timepit,refined-scalacheck_sjs0.6_2.13.0-RC1,16-4-2019,scala,1,8,0.9.5
org.cometd.java,cometd-examples-java,12-10-2011,example webapp web application,11,1,1.1.5
io.wcm,io.wcm.testing.logging.logback,30-1-2020,logging testing io,1,0,1.0.0
io.github.cmorgia,aws-secretsmanager-caching-java,6-2-2020,github amazon aws io,3,0,1.0.3
com.github.smokestack,smokestack-common,20-3-2010,github,1,6,0.1
com.wire,wire-signals_2.11,30-6-2020,,2,0,0.2
org.quickgeo,quickgeo-za,14-11-2012,,1,0,0.1.0
ai.djl.spring,djl-spring-boot-starter-mxnet-auto,20-5-2020,spring starter mxnet,2,1,0.5
com.slyak,slyak-parent,20-5-2019,,11,0,2.0.0.RELEASE
com.codepiex.droidlibx,droidlibx,21-3-2017,android,1,0,1.0.0
com.websudos,reactiveneo_2.10,13-8-2015,,2,0,0.3.1
com.liferay.webjars,com.liferay.webjars.lexicon,30-5-2019,web,45,0,1.0.30
io.github.jkrauze,bra,23-10-2018,github io,1,0,0.1.0
com.roundeights,hasher_2.10,4-2-2017,,1,9,1.2.0
uk.gov.hmrc,emailaddress_2.10,1-8-2014,,2,0,0.2.0
com.adashrod.mkvscanner,mkvscanner,24-4-2019,,4,0,1.1.0
org.skinny-framework,skinny-micro-test_2.12,9-2-2020,testing framework,29,7,2.2.0
com.mgmtp.perfload,perfload-loadprofiles,7-6-2016,,3,0,1.1.0
es.prodevelop,es.prodevelop.pui9.common.dto,9-7-2020,,8,1,1.10.0
de.lmu.ifi.dbs.elki,elki-bundle,11-2-2016,bundle,2,0,0.7.1
io.amient.affinity,avro-serde-kafka_2.3-scala_2.11,18-12-2019,streaming serialization avro kafka io protocol,26,3,0.13.6
com.clovellytech,h4sm-features-client_sjs0.6_2.13,7-4-2020,client,6,0,0.0.43
com.liferay,com.liferay.wysiwyg.web,25-6-2020,web,47,0,4.0.7
eu.agrosense.client,util,6-7-2014,client netbeans module,4,14,14.06-beta
com.zarbosoft,cogettus,27-10-2018,,4,0,0.0.10
ru.shadam.gretty,gretty-runner-tomcat7,15-6-2016,runner webserver server tomcat,2,0,1.3.0
org.bootenv,bootenv,25-6-2015,,1,0,1.0.0
io.gravitee.fetcher,gravitee-fetcher-http,30-1-2020,io http,12,0,1.10.0
io.mosip.preregistration,pre-registration-datasync-service,3-7-2020,service io,4,0,1.0.9
org.arquillian.extension,arquillian-recorder-parent,22-12-2016,recorder extension,16,0,1.1.6.Final
org.sonatype.appbooter.plexus-booters,plexus-jsw-app-booter,21-9-2010,,18,4,2.1.1
org.jnosql.diana,infinispan-driver,16-5-2019,cache driver,6,0,0.0.9
io.axual.client,axual-client-parent,13-7-2020,client io,6,0,5.4.4
org.in-cal,incal-core_2.12,26-11-2019,,1,4,0.2.3
org.deeplearning4j,deeplearning4j-zoo,14-5-2020,machine-learning deep-learning,10,3,1.0.0-beta7
com.gu,membership-common_2.11,8-8-2018,,470,0,0.522
org.testifyproject.external,external-guava,21-8-2018,,15,4,1.0.6
com.phloc,phloc-ubl21-codelists,21-5-2014,,1,1,3.2.0
com.github.alteryx,alteryxsparkutils_2.10,20-11-2017,github,2,0,1.1
com.mparticle,java-sdk,22-4-2020,sdk,31,0,2.4.0
com.regblanc,scala-smtlib_2.11,10-6-2018,scala,5,1,0.2.2-12-g91e...
com.github.obase,obase-test,11-2-2018,github testing,8,0,1.2.0
net.sourceforge.owlapi,oppl2-oppl2templates,23-9-2018,,6,0,5.0.0
org.jfxvnc,jfxvnc-ui,8-2-2017,ui,4,1,1.2.0
me.fengy,dotty-backend_0.6,21-12-2017,,7,0,0.5.3
ai.tock,tock-bot-admin-kotlin-compiler-client,15-7-2020,admin compiler client kotlin,11,1,20.3.3
org.wso2.carbon.devicemgt,device-mgt,30-10-2018,management device,400,0,4.0.6
org.eclipse.neoscada.core,org.eclipse.scada.da.datasource.movingaverage,26-10-2016,eclipse data datasource,1,0,0.3.0
